status,type,naam,email,locatie,hook,sent_at,followup_at,replied
pending,jeugdbeweging,Akabe Heverlee,groepsleiding.akabeheverlee@gmail.com,Heverlee,Akabe-werking met specifieke noden voor jongeren met beperking,,,
pending,jeugdbeweging,Scouting Antwerpen-Zuid,groeps_leiding@scoutingantwerpenzuid.be,Antwerpen,jullie scouts in Hertsdeinstraat,,,
pending,jeugdbeweging,Scouts Bolderberg,grl@scoutsbolderberg.be,Heusden-Zolder,jullie scouts in Vrunstraat,,,
pending,jeugdbeweging,Scouts Leuven,groepsleiding.scoutsleuven@gmail.com,Leuven,jullie scoutsgroep in Leuven,,,
pending,jeugdbeweging,Scouts Ravot,groepsleiding@scoutsravot.be,Gent,jullie scouts op Opgeeistenlaan,,,
pending,jeugdbeweging,Scouts Savio,groeps@savio.be,Brugge,jullie scoutsgroep in Brugge,,,
pending,jeugdbeweging,Scouts SMAF,groepsleiding@smaf.be,Hasselt,jullie scouts op Alverbergstraat,,,
pending,jeugdbeweging,Scouts Wezenplein,groepsleiding.wezenplein@gmail.com,Heverlee,jullie scoutsgroep in Heverlee,,,
pending,jeugdbeweging,Chiro Aartrijke,info@chiroaartrijke.be,Aartrijke,jullie Chiro in West-Vlaanderen,,,
pending,jeugdbeweging,Chiro Avelgem,info@chiroavelgem.be,Avelgem,jullie Chiro in West-Vlaanderen,,,
pending,jeugdbeweging,Chiro Sint-Bavo,chirosintbavo@gmail.com,Onbekend,jullie Chiro-groep,,,
pending,jeugdbeweging,Jongenschiro Arendonk,jongens.groepsleiding@chiro-arendonk.be,Arendonk,jullie jongens-Chiro in Arendonk,,,
pending,sportclub,AC Geraardsbergen,acg@val.be,Geraardsbergen,jullie atletiekclub in Geraardsbergen,,,
pending,sportclub,FC Veldegem,ivan.vermeulen6@telenet.be,Veldegem,jullie voetbalclub in Veldegem,,,
pending,sportclub,Koninklijke Lebbeekse Atletiekclub,secretariaat@lebb.be,Lebbeke,jullie atletiekclub in Lebbeke,,,
pending,sportclub,Koninklijke Tennisclub Brugge,ktcbrugge@gmail.com,Brugge,jullie tennisclub in Brugge,,,
pending,sportclub,Koninklijke Tennisclub Linkeroever,info@ktclo.be,Antwerpen,jullie tennisclub op Linkeroever,,,
pending,sportclub,K. Stade Leuven Tennis,secretaris@stadeleuventennis.be,Leuven,jullie tennisclub op K. Mercierlaan,,,
pending,vzw,Jeugdhuis Nootuitgang,db@nootuitgang.be,Edegem,jullie jeugdhuis in Parklaan Edegem,,,
pending,vzw,Jeugdhuis Ypsilon,info@jeugdhuisypsilon.be,Aalst,jullie jeugdhuis in Aalst,,,
pending,vzw,Jeugdhuis t Link,info@jhtlink.be,Antwerpen,jullie jeugdhuis in Antwerpen-Noord,,,
pending,vzw,JH Zenith,rvb@jhzenith.be,Sint-Gillis-bij-Dendermonde,jullie jeugdhuis Zenith in Dendermonde,,,
pending,vzw,Kunstacademie Niel,kunstacademieniel@gmail.com,Niel,jullie kunstacademie in Niel,,,
pending,vzw,Vl@s Antwerpen-Centrum,vlasantwerpen@gmail.com,Antwerpen,jullie senioren-vereniging in Antwerpen-Centrum,,,
pending,artist,Gentlemanagement,info@gentlemanagement.be,Belgie,jullie roster met Gabriel Rios en Selah Sue,,,
pending,artist,KRAS Artists,info@kras.be,Belgie,KRAS sinds 1983,,,
pending,artist,LD Music Agency,lynn@ld-musicagency.com,Brussel,Lynn jullie agency sinds 2020,,,
pending,artist,Make My Day,info@make-my-day.be,Antwerpen,jullie boutique-bureau in Korte Achteromstraat,,,
pending,artist,Musickness,christian@musickness.be,Antwerpen,jullie management met 25+ artiesten,,,
pending,artist,NADA,info@nadabooking.be,Brussel,NADA sinds 1990 met team van 8,,,
pending,artist,Nextar Artists,info@nextar.be,Overijse,jullie boekingskantoor met Metejoor en Natalia,,,
pending,artist,Rumoer,post@rumoer.be,Antwerpen,jullie agency voor singer-songwriters,,,
pending,artist,Showfact,aanvraag@showfact.be,Belgie,jullie artiestenbureau,,,
pending,artist,Zig Zag World,info@zigzagworld.be,Brussel,jullie wereldmuziek-management op Place Maurice Van Meenen,,,
